symbol,name,currency,price,price_open,day_high,day_low,52_week_high,52_week_low,day_change,change_pct,close_yesterday,market_cap,volume,volume_avg,shares,stock_exchange_long,stock_exchange_short,timezone,timezone_name,gmt_offset,last_trade_time
FB,"Facebook, Inc. Common Stock",USD,172.07,171.60,174.30,171.58,218.62,123.02,2.47,1.46,169.60,491085908133,18862135,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
JPM,JPMorgan Chase & Co.,USD,104.35,103.98,104.55,103.66,119.24,91.11,1.32,1.28,103.03,341667043353,9762077,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:08
V,Visa Inc Class A,USD,150.67,148.11,150.97,148.02,151.56,116.03,3.32,2.25,147.35,331031176847,9359906,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:10
XLNX,"Xilinx, Inc.",USD,121.94,120.50,122.06,119.76,127.70,62.54,3.31,2.79,118.63,30870818778,4115875,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ADBE,Adobe Inc,USD,260.96,255.98,261.46,255.77,277.61,204.95,6.22,2.44,254.74,127639446220,2711658,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ALL,Allstate Corp,USD,94.11,93.55,94.16,93.39,102.73,77.00,0.81,0.87,93.30,31241047543,1980259,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:24
AMZN,"Amazon.com, Inc.",USD,1670.62,1626.12,1672.29,1626.01,2050.50,1307.00,49.82,3.07,1620.80,820613553461,3876352,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
AXP,American Express Company,USD,109.56,109.01,109.79,108.71,114.55,89.05,1.58,1.46,107.98,92399461756,3289261,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:57
MMM,3M Co,USD,207.10,201.88,207.16,201.66,243.10,176.87,6.17,3.07,200.93,119248183514,2385314,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:31
AAPL,Apple Inc.,USD,178.90,175.49,179.12,175.35,233.47,142.00,5.99,3.46,172.91,843563563220,32011034,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
FB,"Facebook, Inc. Common Stock",USD,172.07,171.60,174.30,171.58,218.62,123.02,2.47,1.46,169.60,491085908133,18883983,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
JPM,JPMorgan Chase & Co.,USD,104.35,103.98,104.55,103.66,119.24,91.11,1.32,1.28,103.03,341667043353,9763235,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:08
V,Visa Inc Class A,USD,150.67,148.11,150.97,148.02,151.56,116.03,3.32,2.25,147.35,331031176847,9361495,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:10
XLNX,"Xilinx, Inc.",USD,121.94,120.50,122.06,119.76,127.70,62.54,3.31,2.79,118.63,30870818778,4118118,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ADBE,Adobe Inc,USD,260.96,255.98,261.46,255.77,277.61,204.95,6.22,2.44,254.74,127639446220,2711658,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ALL,Allstate Corp,USD,94.11,93.55,94.16,93.39,102.73,77.00,0.81,0.87,93.30,31241047543,1980259,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:24
AMZN,"Amazon.com, Inc.",USD,1670.62,1626.12,1672.29,1626.01,2050.50,1307.00,49.82,3.07,1620.80,820613553461,3876352,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
AXP,American Express Company,USD,109.56,109.01,109.79,108.71,114.55,89.05,1.58,1.46,107.98,92399461756,3289261,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:57
MMM,3M Co,USD,207.10,201.88,207.16,201.66,243.10,176.87,6.17,3.07,200.93,119248183514,2385314,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:31
AAPL,Apple Inc.,USD,178.90,175.49,179.12,175.35,233.47,142.00,5.99,3.46,172.91,843563563220,32011034,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
FB,"Facebook, Inc. Common Stock",USD,172.07,171.60,174.30,171.58,218.62,123.02,2.47,1.46,169.60,491085908133,18883983,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
JPM,JPMorgan Chase & Co.,USD,104.35,103.98,104.55,103.66,119.24,91.11,1.32,1.28,103.03,341667043353,9763235,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:08
V,Visa Inc Class A,USD,150.67,148.11,150.97,148.02,151.56,116.03,3.32,2.25,147.35,331031176847,9361495,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:10
XLNX,"Xilinx, Inc.",USD,121.94,120.50,122.06,119.76,127.70,62.54,3.31,2.79,118.63,30870818778,4118118,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ADBE,Adobe Inc,USD,260.96,255.98,261.46,255.77,277.61,204.95,6.22,2.44,254.74,127639446220,2711658,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ALL,Allstate Corp,USD,94.11,93.55,94.16,93.39,102.73,77.00,0.81,0.87,93.30,31241047543,1980259,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:24
AMZN,"Amazon.com, Inc.",USD,1670.62,1626.12,1672.29,1626.01,2050.50,1307.00,49.82,3.07,1620.80,820613553461,3876352,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
AXP,American Express Company,USD,109.56,109.01,109.79,108.71,114.55,89.05,1.58,1.46,107.98,92399461756,3289261,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:57
MMM,3M Co,USD,207.10,201.88,207.16,201.66,243.10,176.87,6.17,3.07,200.93,119248183514,2385314,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:31
AAPL,Apple Inc.,USD,178.90,175.49,179.12,175.35,233.47,142.00,5.99,3.46,172.91,843563563220,32011034,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
FB,"Facebook, Inc. Common Stock",USD,172.07,171.60,174.30,171.58,218.62,123.02,2.47,1.46,169.60,491085908133,18883983,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
JPM,JPMorgan Chase & Co.,USD,104.35,103.98,104.55,103.66,119.24,91.11,1.32,1.28,103.03,341667043353,9763235,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:08
V,Visa Inc Class A,USD,150.67,148.11,150.97,148.02,151.56,116.03,3.32,2.25,147.35,331031176847,9361495,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:10
XLNX,"Xilinx, Inc.",USD,121.94,120.50,122.06,119.76,127.70,62.54,3.31,2.79,118.63,30870818778,4118118,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ADBE,Adobe Inc,USD,260.96,255.98,261.46,255.77,277.61,204.95,6.22,2.44,254.74,127639446220,2711658,2713470,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ALL,Allstate Corp,USD,94.11,93.55,94.16,93.39,102.73,77.00,0.81,0.87,93.30,31241047543,1980259,2159718,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:24
AMZN,"Amazon.com, Inc.",USD,1670.62,1626.12,1672.29,1626.01,2050.50,1307.00,49.82,3.07,1620.80,820613553461,3876352,4683502,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
AXP,American Express Company,USD,109.56,109.01,109.79,108.71,114.55,89.05,1.58,1.46,107.98,92399461756,3289261,3110326,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:57
MMM,3M Co,USD,207.10,201.88,207.16,201.66,243.10,176.87,6.17,3.07,200.93,119248183514,2385314,2184449,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:31
AAPL,Apple Inc.,USD,178.90,175.49,179.12,175.35,233.47,142.00,5.99,3.46,172.91,843563563220,32011034,27279442,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
FB,"Facebook, Inc. Common Stock",USD,172.07,171.60,174.30,171.58,218.62,123.02,2.47,1.46,169.60,491085908133,18883983,19689506,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
JPM,JPMorgan Chase & Co.,USD,104.35,103.98,104.55,103.66,119.24,91.11,1.32,1.28,103.03,341667043353,9763235,12030524,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:00:08
V,Visa Inc Class A,USD,150.67,148.11,150.97,148.02,151.56,116.03,3.32,2.25,147.35,331031176847,9361495,8527195,1750177000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-11 16:02:10
XLNX,"Xilinx, Inc.",USD,121.94,120.50,122.06,119.76,127.70,62.54,3.31,2.79,118.63,30870818778,4118118,4113557,253164000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-11 16:00:01
ADBE,Adobe Inc,USD,261.93,261.86,261.93,259.01,277.61,204.95,0.97,0.37,260.96,128113888367,424303,2676478,489115000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-12 10:47:39
ALL,Allstate Corp,USD,94.44,94.33,94.75,94.22,102.73,77.00,0.37,0.39,94.07,31324038318,241736,2167869,331963000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-12 10:39:24
AMZN,"Amazon.com, Inc.",USD,1678.96,1669.00,1684.27,1660.98,2050.50,1307.00,8.34,0.50,1670.62,824709809924,1063476,4647391,491203000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-12 10:35:13
AXP,American Express Company,USD,110.79,109.74,110.81,109.74,114.55,89.05,1.24,1.13,109.55,93428372478,392091,3103673,843369000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-12 10:41:46
MMM,3M Co,USD,206.96,207.84,208.39,206.84,243.10,176.87,-0.14,-0.07,207.10,119311521865,273433,2186613,575800000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-12 10:41:46
AAPL,Apple Inc.,USD,182.13,180.00,182.22,179.37,233.47,142.00,3.23,1.81,178.90,860350020457,8775712,27228213,4715280000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-12 10:45:52
FB,"Facebook, Inc. Common Stock",USD,172.45,172.09,173.80,171.22,218.62,123.02,0.38,0.22,172.07,492045410386,3264143,19577274,2385534000,NASDAQ Stock Exchange,NASDAQ,EDT,America/New_York,-14400,2019-03-12 10:45:47
JPM,JPMorgan Chase & Co.,USD,104.20,104.59,104.79,104.02,119.24,91.11,-0.15,-0.14,104.35,340717510466,2070238,11875546,3274242000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2019-03-12 10:52:19
